,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
39,32,Chile,3061019,,"42,353",,"2,066,910",,"951,756","1,079","157,880","2,184","33,012,243","1,702,695"
168,161,Mali,30381,,722,,"29,498",,161,,"1,432",34,"621,663","29,301"
169,162,Haiti,30342,,820,,"25,219",,"4,303",,"2,608",70,"132,422","11,383"
102,95,North Macedonia,297262,,"9,010",,"284,756",,"3,496",,"142,693","4,325","1,890,628","907,546"
215,208,Kiribati,2940,+13,11,,"2,169",+118,760,4,"24,003",90,,
103,96,Réunion,292126,,640,,"274,185",,"17,301",40,"322,469",706,"1,424,291","1,572,230"
40,33,Thailand,2912347,"+20,420","22,979",+43,"2,673,646","+18,297","215,722",687,"41,551",328,"17,270,775","246,407"
226,219,Vatican City,29,,,,28,,1,,"36,070",,,
10,3,Brazil,28787620,,"649,443",,"26,336,373",,"1,801,804","8,318","133,856","3,020","63,776,166","296,545"
41,34,Switzerland,2806401,"+13,983","13,234",,"2,194,859","+23,423","598,308",137,"320,382","1,511","18,703,625","2,135,227"
42,35,Romania,2741945,"+8,461","63,578",+146,"2,510,046","+20,268","168,321",892,"144,124","3,342","21,103,210","1,109,241"
104,97,Albania,271563,,"3,469",,"265,588",,"2,506",13,"94,536","1,208","1,743,290","606,871"
43,36,Austria,2704530,"+24,788","14,841",+32,"2,423,154","+27,684","266,535",191,"297,476","1,632","159,433,227","17,536,330"
170,163,Benin,26567,,163,,"25,506",,898,5,"2,100",13,"604,310","47,775"
105,98,Algeria,264936,,"6,835",,"177,513",,"80,588",11,"5,866",151,"230,861","5,112"
106,99,Botswana,263950,,"2,619",,"259,434",,"1,897",1,"108,608","1,078","2,026,898","834,015"
44,37,Denmark,2633759,,"4,612",,"2,243,238",,"385,909",42,"452,068",792,"125,361,779","21,517,564"
